event_date,event_time,imei,event_type,operator,producer_status,consumer_status,stream_result

2026-08-13,14:46:41,685478948789367,TAMPER_DETECTED,CarrierMSP (Node A),EMITTED,PROCESSED,PROCESSED
2026-08-13,14:47:41,359821061234567,VERIFICATION_COMPLETED,CarrierMSP (Node A),EMITTED,PROCESSED,PROCESSED
2026-08-13,20:51:27,455678567894567,UNKNOWN_IMEI,CarrierMSP (Node A),EMITTED,PROCESSED,PROCESSED
2026-08-13,20:51:59,455678567000000,UNKNOWN_IMEI,CarrierMSP (Node A),EMITTED,PROCESSED,PROCESSED
2026-08-13,20:54:13,678936789394897,UNKNOWN_IMEI,CarrierMSP (Node A),EMITTED,PROCESSED,PROCESSED
2026-08-13,20:54:48,678936789394899,UNKNOWN_IMEI,CarrierMSP (Node A),EMITTED,PROCESSED,PROCESSED
2026-08-13,20:55:25,359821061234567,UNKNOWN_IMEI,CarrierMSP (Node A),EMITTED,PROCESSED,PROCESSED
2026-08-14,14:24:15,678435678945678,TAMPER_DETECTED,CarrierMSP (Node A),EMITTED,PROCESSED,PROCESSED
